
央视(超清),#genre#
CCTV-15,http://39.134.65.162/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.65.181/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15,http://111.40.196.9/PLTV/88888888/224/3221225500/index.m3u8
CCTV-15,http://117.148.179.160/PLTV/88888888/224/3221231693/index.m3u8
CCTV-15,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8 
CCTV-15,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV-15,http://39.135.32.28:6610/PLTV/77777777/224/3221225830/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-15,http://39.135.32.28:6610/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-15,http://39.135.55.105:6610/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1
CCTV-15,http://39.135.55.105:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1
CCTV-16,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
CCTV-16,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV-16,http://117.148.179.162/PLTV/88888888/224/3221233392/index.m3u8
CCTV-16,http://117.148.179.162/PLTV/88888888/224/3221233403/index.m3u8
CCTV-16,http://117.148.179.162/PLTV/88888888/224/3221233436/index.m3u8
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CCTV-17,http://39.134.65.183/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://39.134.65.181/PLTV/88888888/224/3221225708/1.m3u8
CCTV-17,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17,http://117.148.179.160/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV-17,http://39.135.32.28:6610/PLTV/77777777/224/3221225513/index.m3u8?servicetype=1&IASHttpSessionId=OTT

卫视(咪咕),#genre#
深圳卫视,http://39.134.65.164/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.177/PLTV/88888888/224/3221225886/1.m3u8
深圳卫视,http://39.134.65.166/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.181/PLTV/88888888/224/3221225886/1.m3u8
深圳卫视,http://111.40.196.9/PLTV/88888888/224/3221225602/index.m3u8
深圳卫视,http://111.40.196.9/PLTV/88888888/224/3221225537/index.m3u8
